Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2017],&Aacute;rea Territorial - km&sup2; [2019],Popula&ccedil;&atilde;o estimada - pessoas [2020],Densidade demogr&aacute;fica - hab/km&sup2; [2010],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2017],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2017],
Acegu&aacute;,4300034,aceguaense,GERHARD MARTENS,1551.339,4942,2.84,93.9,0.687,20.41,26548.53375,23549.10968,55081.87,
&Aacute;gua Santa,4300059,&aacute;gua-santense,JACIR MIORANDO,291.503,3743,12.76,98.5,0.750,69.77,25897.40087,20012.52985,66989.56,
Agudo,4300109,agudense,VALERIO VILI TREBIEN,534.624,16401,31.19,96.5,0.694,12.42,63192.46487,51366.67337,28455.96,
Ajuricaba,4300208,ajuricabense,IVAN CHAGAS,322.699,6987,22.44,98.5,0.753,14.71,26396.04314,21630.98289,34772.75,
Alecrim,4300307,alecrinense,LEONEL EGIDIO COLOSSI,316.394,5827,22.38,97.1,0.672,33.90,22917.27603,20554.57376,15753.41,
Alegrete,4300406,alegretense,M&Aacute;RCIO FONSECA DO AMARAL,7800.163,73028,9.95,98.9,0.740,13.51,225019.54108,199319.40583,25890.38,
Alegria,4300455,alegriense,GUSTAVO TEIXEIRA BIGOLIN,172.794,3374,24.91,98.9,0.695,26.32,21841.34483,17891.13949,25175.90,
Almirante Tamandar&eacute; do Sul,4300471,tamandarense,VALDECI GOMES DA SILVA,265.327,1949,7.79,100,0.740,41.67,16595.42398,13286.48947,62677.88,
Alpestre,4300505,alpestrense,VALDIR JOS&Eacute; ZASSO,325.979,6067,24.73,98.1,0.671,13.89,50164.46672,39342.56205,70927.03,
Alto Alegre,4300554,alto-alegrense,GILMAR TONELLO,115.335,1613,16.15,98.1,0.747,47.62,14976.0642,13265.16596,35425.58,
Alto Feliz,4300570,alto-felizense,PAULO MERTINS,78.846,3036,36.84,98.1,0.734,31.25,20197.8141,13761.35301,27654.76,
Alvorada,4300604,alvoradense,JOSE ARNO APPOLO DO AMARAL,71.648,211352,2743.94,95.3,0.699,10.11,358403.06181,290560.43064,12524.18,
Amaral Ferrador,4300638,amaralense,NATANIEL SATIRO DO VAL CANDIA,505.983,7085,12.54,98.3,0.624,17.54,18819.76662,16883.0557,15008.24,
Ametista do Sul,4300646,ametistense,GILMAR DA SILVA,93.704,7403,78.33,100,0.682,25.97,24884.7736,21341.45299,13164.88,
Andr&eacute; da Rocha,4300661,andr&eacute;-rochense,SERGIO CARLOS MORETTI,331.227,1343,3.75,100,0.720,66.67,13615.32263,11441.32315,77749.08,
Anta Gorda,4300703,anta-gordense,MADALENA GEHLEN ZANCHIN,242.260,5961,25.00,97.8,0.740,17.86,26400.22746,18964.88259,32538.50,
