CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2
4300001,Lagoa Mirim,RS,2872.364
4300002,Lagoa dos Patos,RS,10196.942
4300034,Aceguá,RS,1551.339
4300059,Água Santa,RS,291.503
4300109,Agudo,RS,534.624
4300208,Ajuricaba,RS,322.699
4300307,Alecrim,RS,316.394
4300406,Alegrete,RS,7800.163
4300455,Alegria,RS,172.794
4300471,Almirante Tamandaré do Sul,RS,265.327
4300505,Alpestre,RS,325.979
4300554,Alto Alegre,RS,115.335
4300570,Alto Feliz,RS,78.846
4300604,Alvorada,RS,71.648
4300638,Amaral Ferrador,RS,505.983
4300646,Ametista do Sul,RS,93.704
4300661,André da Rocha,RS,331.227
4300703,Anta Gorda,RS,242.26
4300802,Antônio Prado,RS,348.191
4300851,Arambaré,RS,518.193
4300877,Araricá,RS,35.296
4300901,Aratiba,RS,342.279
4301008,Arroio do Meio,RS,157.58
4301057,Arroio do Sal,RS,119.163
4301073,Arroio do Padre,RS,124.693
4301107,Arroio dos Ratos,RS,425.791
4301206,Arroio do Tigre,RS,315.132
4301305,Arroio Grande,RS,2508.545
4301404,Arvorezinha,RS,270.241
4301503,Augusto Pestana,RS,348.33
4301552,Áurea,RS,156.727
4301602,Bagé,RS,4090.36
4301636,Balneário Pinhal,RS,102.386
4301651,Barão,RS,124.113
4301701,Barão de Cotegipe,RS,260.505
4301750,Barão do Triunfo,RS,436.101
4301800,Barracão,RS,515.469
4301859,Barra do Guarita,RS,62.801
4301875,Barra do Quaraí,RS,1055.937
4301909,Barra do Ribeiro,RS,729.316
4301925,Barra do Rio Azul,RS,146.995
4301958,Barra Funda,RS,60.437
4302006,Barros Cassal,RS,647.994
4302055,Benjamin Constant do Sul,RS,132.351
4302105,Bento Gonçalves,RS,273.576
4302154,Boa Vista das Missões,RS,196.064
4302204,Boa Vista do Buricá,RS,109.557
4302220,Boa Vista do Cadeado,RS,701.315
4302238,Boa Vista do Incra,RS,504.114
4302253,Boa Vista do Sul,RS,92.956
4302303,Bom Jesus,RS,2623.12
4302352,Bom Princípio,RS,88.774
4302378,Bom Progresso,RS,89.211
4302402,Bom Retiro do Sul,RS,102.326
4302451,Boqueirão do Leão,RS,265.58
4302501,Bossoroca,RS,1610.056
4302584,Bozano,RS,200.55
4302600,Braga,RS,131.631
4302659,Brochier,RS,105.353
4302709,Butiá,RS,752.187
4302808,Caçapava do Sul,RS,3047.113
4302907,Cacequi,RS,2373.174
4303004,Cachoeira do Sul,RS,3736.158
4303103,Cachoeirinha,RS,43.782
4303202,Cacique Doble,RS,204.055
4303301,Caibaté,RS,261.303
4303400,Caiçara,RS,189.16
4303509,Camaquã,RS,1680.168
4303558,Camargo,RS,138.069
4303608,Cambará do Sul,RS,1207.916
4303673,Campestre da Serra,RS,537.994
4303707,Campina das Missões,RS,224.801
4303806,Campinas do Sul,RS,276.162
4303905,Campo Bom,RS,60.809
4304002,Campo Novo,RS,220.719
4304101,Campos Borges,RS,226.202
4304200,Candelária,RS,944.058
4304309,Cândido Godói,RS,247.047
4304358,Candiota,RS,933.628
4304408,Canela,RS,253.704
4304507,Canguçu,RS,3526.253
4304606,Canoas,RS,130.789
4304614,Canudos do Vale,RS,82.292
4304622,Capão Bonito do Sul,RS,526.85
4304630,Capão da Canoa,RS,98.29
4304655,Capão do Cipó,RS,1007.796
4304663,Capão do Leão,RS,783.624
4304671,Capivari do Sul,RS,412.889
4304689,Capela de Santana,RS,183.12
4304697,Capitão,RS,73.967
4304705,Carazinho,RS,665.229
4304713,Caraá,RS,294.456
4304804,Carlos Barbosa,RS,230.68
4304853,Carlos Gomes,RS,83.155
4304903,Casca,RS,272.041
4304952,Caseiros,RS,235.863
4305009,Catuípe,RS,583.184
4305108,Caxias do Sul,RS,1652.378
4305116,Centenário,RS,134.23
4305124,Cerrito,RS,451.699
4305132,Cerro Branco,RS,158.025
4305157,Cerro Grande,RS,73.438
4305173,Cerro Grande do Sul,RS,324.908
4305207,Cerro Largo,RS,176.643
4305306,Chapada,RS,684.247
4305355,Charqueadas,RS,217.362
4305371,Charrua,RS,198.748
4305405,Chiapetta,RS,397.179
4305439,Chuí,RS,202.387
4305447,Chuvisca,RS,220.471
4305454,Cidreira,RS,243.42
4305504,Ciríaco,RS,274.35
4305587,Colinas,RS,58.034
4305603,Colorado,RS,286.295
4305702,Condor,RS,465.192
4305801,Constantina,RS,203.614
4305835,Coqueiro Baixo,RS,112.439
4305850,Coqueiros do Sul,RS,277.637
4305871,Coronel Barros,RS,163.684
4305900,Coronel Bicaco,RS,492.303
4305934,Coronel Pilar,RS,105.447
4305959,Cotiporã,RS,173.207
4305975,Coxilha,RS,421.493
4306007,Crissiumal,RS,363.597
4306056,Cristal,RS,682.138
4306072,Cristal do Sul,RS,97.077
4306106,Cruz Alta,RS,1358.818
4306130,Cruzaltense,RS,166.883
4306205,Cruzeiro do Sul,RS,154.964
4306304,David Canabarro,RS,174.734
4306320,Derrubadas,RS,360.851
4306353,Dezesseis de Novembro,RS,217.363
4306379,Dilermando de Aguiar,RS,601.17
4306403,Dois Irmãos,RS,65.152
4306429,Dois Irmãos das Missões,RS,226.072
4306452,Dois Lajeados,RS,133.535
4306502,Dom Feliciano,RS,1355.195
4306551,Dom Pedro de Alcântara,RS,78.219
4306601,Dom Pedrito,RS,5194.051
4306700,Dona Francisca,RS,114.149
