Município [-];Código [-];Gentílico [-];Prefeito [2017];Área Territorial - km² [2019];População estimada - pessoas [2020];Densidade demográfica - hab/km² [2010];Escolarização (6 a 14 anos) - % [2010];IDHM (Índice de desenvolvimento humano municipal) [2010];Mortalidade infantil - óbitos por mil nascidos vivos [2017];Receitas realizadas - R$ (x1000) [2017];Despesas empenhadas - R$ (x1000) [2017];PIB per capita - R$ [2017];
Barão;4301651;baronense;CLÁUDIO FERRARI;124,113;6202;46,12;98,7;0,748;31,75;28504,95127;22700,87109;28395,89;
Bento Gonçalves;4302105;bento-gonçalvense;GUILHERME RECH PASIN;273,576;121803;280,86;96,6;0,778;10,38;499680,20821;409196,8316;48069,12;
Boa Vista do Sul;4302253;boavistense;ALOISIO RISSI;92,956;2778;29,42;99,2;0,728;71,43;23858,67521;18636,13572;25679,93;
Bom Princípio;4302352;bom-principiense;FÁBIO PERSCH;88,774;14255;133,20;97,9;0,746;11,83;55399,86961;46618,53886;40561,86;
Carlos Barbosa;4304804;barbosense;EVANDRO ZIBETTI;230,680;30241;110,17;98,7;0,796;6,64;134175,3448;107434,30247;78474,36;
Coronel Pilar;4305934;coronel pilarense;ADELAR LOCH;105,447;1614;16,36;100;0,727;66,67;15138,03902;10343,47361;22379,89;
Cotiporã;4305959;cotiporanense;JOSE CARLOS BREDA;173,207;3838;22,72;99,5;0,741;41,67;21260,06842;18039,33811;36459,18;
Fagundes Varela;4307864;fagundense;CLAUDIA MORESCHI TOME;134,295;2741;19,20;98,8;0,763;142,86;19562,56008;15657,15196;28868,59;
Farroupilha;4307906;farroupilhense;PEDRO EVORI PEDROZO;361,483;73061;176,57;98,5;0,777;5,72;258342,46053;212320,93437;45466,72;
Flores da Cunha;4308201;florense;LÍDIO SCORTEGAGNA;273,637;31063;99,20;97,4;0,754;13,19;121269,74175;97657,10834;50038,24;
Garibaldi;4308607;garibaldense;ANTONIO CETTOLIN;167,559;35440;181,34;95,6;0,786;10,00;141656,11163;113849,76969;53912,14;
Monte Belo do Sul;4312385;monte-belense;ADENIR JOSÉ DALLÉ;69,726;2530;39,05;98,7;0,752;76,92;16461,32351;13294,87965;49024,60;
Nova Pádua;4313086;paduense;RONALDO BONIATTI;102,729;2558;23,73;100;0,761;-;18059,43793;13340,75177;25964,88;
Nova Roma do Sul;4313359;nova-romense;DOUGLAS FAVERO PASUCH;149,140;3717;22,43;98,2;0,741;37,04;26300,31612;19027,69366;46224,05;
Pinto Bandeira;4314548;pinto bandeirense;HADAIR FERRARI;104,821;3036;-;-;-;43,48;14467,06749;11108,0264;16939,10;
Santa Tereza;4317251;santa-terezense;GILNEI FIOR;74,054;1726;23,76;98,6;0,746;-;12244,14151;10447,96197;23889,41;
São Marcos;4319000;são-marquense;EVANDRO CARLOS KUWER;256,355;21658;78,45;98,4;0,768;4,65;78979,18958;57990,23501;33071,06;
São Pedro da Serra;4319356;são-pedrense;ISABEL CORETE JONER CORNELIUS;35,062;3842;93,68;98,3;0,739;52,63;21641,92476;15750,04191;19745,70;
São Sebastião do Caí;4319505;caiense;CLOVIS ALBERTO PIRES DUARTE;112,587;25959;196,81;99,2;0,739;13,20;86031,93272;69340,08059;25305,84;
São Vendelino;4319752;são-vendelinense;EVANDRO LUIS SCHNEIDER;32,105;2266;60,59;100;0,754;50,00;18520,06238;14174,1606;29724,95;
Tupandi;4322251;tupandiense;HELIO INACIO MULLER;59,447;4939;65,90;98,8;0,718;15,15;39076,8973;29898,76859;92994,66;
Veranópolis;4322806;veranense;WALDEMAR DE CARLI;289,464;26533;78,83;99,3;0,773;16,33;110813,65674;86664,55291;56039,95;
Vila Flores;4323309;vila-florense;VILMOR CARBONERA;107,652;3396;29,72;96,8;0,742;27,78;22025,21913;18331,64975;46298,82;
